Review,Bank Name,data_source,Bank ID,state,Review spanish,Sentiment_gen,Positive_gen,Negative_gen,Neutral_gen,Mixed_gen,Normalized_Sentiment_Score,ds,Predicted_SASB,SASB_num,Predicted_Pilar,Industry,Sentiment_Category,month,month_num,year,Pilar,Total_Count,Sentiment_Score
"Extremely bad, I waited for 27 minutes with no customer in sight and they never attended to me.",Banco de Chile,maps,4.0,Santiago,Extremadamente malo demoré 27 minutos esperando no había cliente y nunca me atendieron,NEGATIVE,0.0001414521830156,0.9996838569641112,0.0001508592395111,2.38998509303201e-05,0.02168818027712,2024-02-07,Social Capital,1,Social External,Banking,Poor,February,2,2024,Social External,451,0.02168818027712
Very kind person.,Banco de Chile,maps,4.0,Santiago,Personal muy amable,POSITIVE,0.965394139289856,0.0046078693121671,0.0297799352556467,0.0002181004238082,98.02841069176792,2023-10-18,Other,5,Other,Banking,Poor,October,10,2023,Other,344,98.02841069176792
"I do not understand how this branch of the Teletón bank does not offer real facilities to customers with disabilities. There is no preferential parking near the entrance. Furthermore, the ramp is at the exit for cars. I also did not see any wheelchairs in sight.",Banco de Chile,maps,4.0,Temuco,No entiendo como esta sucursal del banco de la Teletón no ofrezca facilidades reales a clientes con discapacidad. No tiene estacionamiento preferencial cerca  de la entrada. Aun mas la rampa está a la salida de los autos. Tampoco ví a la vista ninguna silla de ruedas..,NEGATIVE,0.0003547629748936,0.9933660626411438,0.0057546300813555,0.0005244712228886,0.3232078015571399,2023-09-23,Other,5,Social External,Banking,Poor,September,9,2023,Social External,451,0.3232078015571399
Excellent and fast,Banco de Chile,maps,4.0,Temuco,Excelente y rápido,POSITIVE,0.999771773815155,2.794368083414156e-05,0.0001846856321208,1.562823490530718e-05,99.98641166312154,2023-12-04,Other,5,Other,Banking,Poor,December,12,2023,Other,344,99.98641166312154
Quick,Banco de Chile,maps,4.0,La Serena,Expedito,POSITIVE,0.9583445191383362,0.0042751268483698,0.0373582616448402,2.2164940673974343e-05,97.70236499607564,2024-01-05,Other,5,Other,Banking,Poor,January,1,2024,Other,344,97.70236499607564
"Excellent, I was very well attended to by both the executives and the security personnel.",Banco de Chile,maps,4.0,Concepción,Exelente fui muy bien atendido tanto por los ejecutivos como el personal de vigilancia,POSITIVE,0.9943187832832336,0.000105897677713,0.005494593642652,8.084169530775398e-05,99.70660801045597,2023-05-15,Leadership and Governance,4,Governance,Banking,Poor,May,5,2023,Governance,344,99.70660801045597
"The attention is terrible, very slow, and they don't provide solutions to your problems.",Banco de Chile,maps,4.0,Lebú,Malísima la atención súper lenta y no dan solución a tus problemas,NEGATIVE,0.0003969778190366,0.9970433115959167,0.0023791154380887,0.0001805711508495,0.1586535538080999,2024-03-25,Other,5,Other,Banking,Poor,March,3,2024,Other,451,0.1586535538080999
The worst service. It's not like it's something free.,Banco Security,maps,12.0,Pucón,La peor atención. Ni que fuera algo gratis,NEGATIVE,0.0003791376948356,0.9988443851470948,0.000291385105811,0.0004850297118537,0.05248302477411,2024-05-06,Social Capital,1,Social External,Banking,Poor,May,5,2024,Social External,451,0.05248302477411
The wait time for the checkouts and customer service is too long.,Banco Security,maps,12.0,Buin,El tiempo de espera para las cajas y servicio al cliente es demasiado.,NEGATIVE,0.0015956851420924,0.9911553859710692,0.0038805282674729,0.003368409583345,0.3535949275828799,2024-04-03,Social Capital,1,Social External,Banking,Poor,April,4,2024,Social External,451,0.3535949275828799
ATM fee 8000 CLP,Banco Security,maps,12.0,San Antonio,ATM fee 8000 CLP,NEUTRAL,0.0002070856426144,0.0001688769116299,0.9996166229248048,7.3905553108488675e-06,50.00153971050168,2023-05-22,Other,5,Other,Banking,Poor,May,5,2023,Other,138,50.00153971050168
"Very kind staff, spacious area with very comfortable seating and fast service.",Banco Security,maps,12.0,Villarrica,"Personal muy amable, amplio espacio con asientos muy cómodos y rápida atención",POSITIVE,0.9987416863441468,3.533059134497307e-05,0.0011715148575603,5.1410370360827073e-05,99.93274437729268,2024-05-23,Human Capital,2,Social Internal,Banking,Poor,May,5,2024,Social Internal,344,99.93274437729268
ATM fee 8000 CLP,Banco Security,maps,12.0,Buin,ATM fee 8000 CLP,NEUTRAL,0.0002070856426144,0.0001688769116299,0.9996166229248048,7.3905553108488675e-06,50.00153971050168,2023-05-22,Other,5,Other,Banking,Poor,May,5,2023,Other,138,50.00153971050168
"The wait is too long for the customer service girls to greet each other and start chatting.
Too impersonal for so many people.",Banco Security,maps,12.0,Buin,"Demasiada larga la espera cómo para que las chicas del servicio al cliente se saluden y comiencen a conversar entre ellas.
Demasiado poco perosnal para tanta gente.",NEGATIVE,0.007568288128823,0.944965362548828,0.039412822574377,0.0080535355955362,2.72746994160115,2023-12-12,Social Capital,1,Social External,Banking,Poor,December,12,2023,Social External,451,2.72746994160115
"It must be the slowest bank in Valdivia, and if it's not, it comes very close to such a deserving prize. I've been waiting for 1 hour and I still have 4 numbers left to make a withdrawal.",Banco Security,maps,12.0,Valdivia,"Debe ser el banco más lento de Valdivia, y si no lo es se acerca mucho a tan digno premio. Llevo 1 hora esperando y aún me quedan 4 números para realizar un retiro",NEGATIVE,0.3466919362545013,0.5751601457595825,0.0733619779348373,0.004785971250385,38.337292522192,2023-09-21,Other,5,Other,Banking,Poor,September,9,2023,Other,451,38.337292522192
Monday 9:05 and they still haven't opened a checkout for their customers.,Banco Security,maps,12.0,Villarrica,Dia lunes 9:05 y aun no habren un aburla para sus clientes,NEGATIVE,0.0052373348735272,0.8280529975891113,0.1576591283082962,0.0090505508705973,8.40668990276753,2024-06-03,Other,5,Social External,Banking,Poor,June,6,2024,Social External,451,8.40668990276753
Excellent bank and service.,Banco Security,maps,12.0,San Antonio,Excelente banco y atención.,POSITIVE,0.9996386766433716,2.341767140023876e-05,0.0003182145010214,1.963421527761966e-05,99.97977838938824,2023-07-09,Social Capital,1,Social External,Banking,Poor,July,7,2023,Social External,344,99.97977838938824
"Slow, very slow",Banco Security,maps,12.0,Valdivia,"Lento, muy lento",NEGATIVE,0.0005072973435744,0.9985392093658448,0.0009481562301516,5.33427146365284e-06,0.0981375458650199,2024-02-06,Other,5,Other,Banking,Poor,February,2,2024,Other,451,0.0981375458650199
"We have had to go and the service is excellent, well, in any case, for any procedure you have to go with a lot of patience.",Banco Security,maps,12.0,Quillota,"Nos ah tocado ir y la atención es excelente , bueno igualmente para todo trámite hay que ir con mucha paciencia.",MIXED,0.0677159950137138,0.0109943263232707,0.0081618623808026,0.9131278395652772,7.17969262041151,2023-06-23,Social Capital,1,Social External,Banking,Poor,June,6,2023,Social External,67,7.17969262041151
The best of banks !!,Banco Security,maps,12.0,Peñaflor,El mejor de los bancos !!.,POSITIVE,0.8982375264167786,0.0024374073836952,0.0962058454751968,0.0031191878952085,94.6340449154377,2023-08-26,Other,5,Other,Banking,Poor,August,8,2023,Other,344,94.6340449154377
This bank is arrogant for no reason at all. The service is extremely bad and they try to rip you off with every penny. I am extremely dissatisfied with this bank both personally and professionally and I cannot recommend it.,Banco Security,maps,12.0,Colina,Este banco es arrogante sin motivo alguno.  El servicio es extremadamente mal y tratan de estafarte con cada peso.  Estoy extremadamente insatisfecho con este banco personal y profesionalmente y no puedo recomendarlo.,NEGATIVE,9.225289977621288e-05,0.9997851252555848,9.659487113822252e-05,2.6092891857842915e-05,0.01405503353453,2023-10-30,Social Capital,1,Environmental,Banking,Poor,October,10,2023,Environmental,451,0.01405503353453
Excellent customer service,Banco Security,maps,12.0,Pucón,Execelente atención,POSITIVE,0.9998457431793212,2.9238306524348445e-05,0.0001008295075735,2.425508682790678e-05,99.9896157933108,2023-06-29,Social Capital,1,Social External,Banking,Poor,June,6,2023,Social External,344,99.9896157933108
"Terrible service! They do not have preferential treatment, when I requested it for an older adult with reduced mobility, they denied it, but when the police arrived, they let them skip the entire line (there were lines for hours). We waited for almost 4 hours for attention.
When I requested to file a complaint, they told me there was nowhere to do so.
Honestly, this system is designed to degrade people, especially when they are older adults.",Banco Security,maps,12.0,Buin,"Pésima atención! No tienen atención preferencial, cuando lo solicité para un adulto mayor con movilidad reducida me lo negaron, pero cuando llegaban carabineros los hacían pasar saltándose toda la fila (habían filas de horas). Estuvimos casi 4 hrs esperando por atención.
Cuando solicité realizar un reclamo me dijeron que había donde.
De verdad que este sistema está hecho para denigrar a la gente y más cuando son adultos mayores.",NEGATIVE,0.0011829256545752,0.9986973404884338,0.0001001773489406,1.9582776076276787e-05,0.1233014329045499,2024-02-20,Social Capital,1,Social External,Banking,Poor,February,2,2024,Social External,451,0.1233014329045499
Good and quick attention at the cash registers.,Banco Security,maps,12.0,Los Andes,Buena y ágil atención en cajas.,POSITIVE,0.9944599866867064,0.0004119897494092,0.0050919940695166,3.604539961088449e-05,99.70059837214647,2023-11-03,Other,5,Other,Banking,Poor,November,11,2023,Other,344,99.70059837214647
"Today at 12:20, the Banco Estado in Buin is no longer issuing service numbers because according to them, they are experiencing system intermittence, which is a lie - they simply stop providing service. Since when did the banks change their service system?????",Banco Security,maps,12.0,Buin,"Hoy siendo las 12:20,hrs el banco estado de Buin no da más números de atención por qué según ellos tienen intermitencia en el sistema  lo que es mentira simplemente ellos cierran su atención. Desde cuándo cambió el sistema de atención de los bancos?????",NEGATIVE,0.0003935490676667,0.9216492176055908,0.0778625160455703,9.466382471146062e-05,3.93248070904519,2024-02-02,Social Capital,1,Social External,Banking,Poor,February,2,2024,Social External,451,3.93248070904519
"For me, it is a super efficient and fast branch. A 7. They have always attended me wonderfully and my procedures are very, very fast.",Banco Security,maps,12.0,Peñaflor,Para mi es una sucursal súper eficiente y rápida. Un 7. Siempre me han atendido estupendamente y mis trámites son muy muy rápidos.,POSITIVE,0.999330759048462,3.5567045415518805e-05,0.0005974294035695,3.617969196056947e-05,99.96294737502468,2024-06-11,Other,5,Other,Banking,Poor,June,6,2024,Other,344,99.96294737502468
ATM fee 8000 CLP,Banco Security,maps,12.0,Los Andes,ATM fee 8000 CLP,NEUTRAL,0.0002070856426144,0.0001688769116299,0.9996166229248048,7.3905553108488675e-06,50.00153971050168,2023-05-22,Other,5,Other,Banking,Poor,May,5,2023,Other,138,50.00153971050168
"Terrible service and extremely slow, to pay off credit card installments you have to do it in person at the branch (completely unnecessary), to renegotiate a debt they send you to San Bernardo and when I asked for the address they told me to look for it, if you ask for an explanation about something they don't respond.",Banco Security,maps,12.0,Buin,"Pésima atención y lentísimo, para adelantar cuotas en la tarjeta de crédito hay que hacerlo presencial en la sucursal (totalmente innecesario), para repactar una deuda te mandan a san bernardo y cuando pregunte por la dirección me dijeron que la buscara, si uno pide una explicación de algo  no te responden",NEGATIVE,0.0001381504553137,0.9991589784622192,0.0006961895269341,6.621211468882393e-06,0.04862452187808,2024-05-20,Social Capital,1,Social External,Banking,Poor,May,5,2024,Social External,451,0.04862452187808
"With this numbering system, 5 people went after me to the tellers and the customer service ""CLIENT"" I had to keep waiting, note that the bank is almost empty.",Banco Security,maps,12.0,Valdivia,"Con este sistema de números, pasaron 5 personas después que yo a cajas y x servicio al cliente “CLIENTE” tuve que seguir esperando, ojo el banco está casi vacío",NEGATIVE,0.0317618176341056,0.8681064248085022,0.0894955843687057,0.0106361908838152,7.65096098184585,2023-11-20,Social Capital,1,Social External,Banking,Poor,November,11,2023,Social External,451,7.65096098184585
"Good service, but they did not solve the issue.",Banco Security,maps,12.0,Coyhaique,"Buena atención, pero no solucionaron a lo iba.",MIXED,0.0008959326078183,0.0008894841303117,6.19941929471679e-05,0.9981525540351868,0.09269297042919,2023-09-26,Social Capital,1,Social External,Banking,Poor,September,9,2023,Social External,67,0.09269297042919
